"study_id","authors","year","doi","doi_link","pmid","journal","jcr","doi_verified","model_name","arch","arch_justification","version","fine_tuned","clinical_scenario","design","country","gold_standard","blinding","threshold","n_total","tp","fp","fn","tn","sum_2x2","delta_n","sens","spec","acc","prev","ci_low","ci_high","lr_plus","lr_minus","dor","q1_selection","q2_index","q3_reference","q4_flow","overall_risk","a1_selection","a2_index","a3_reference","extracted_by","date_extracao","verified_by","correcao_applied","val_orig","val_corr","reason_corr","date_corr","notes"
"STU_001","Hong 2025a",2025,"10.1148/radiol.241476","https://doi.org/10.1148/radiol.241476","314(3):e241476","Radiology",19.7,"SIM","KARA-CXR","VLM",NA,NA,"SIM","Pneumothorax",NA,NA,"3 radiologists consensus","Blinded",NA,"2145",181,142,9,1813,2145,0,0.9526,0.9274,0.9296,0.0886,0.9124,0.9749,13.12,0.05,262.4,"Low","Low","Low","Low","Low","Low","Low","Low","AUDIT_TOOL_V3","2026-03-18","ANTIGRAVITY_AGENT","NA","NA","NA","NA","NA","NA"
"STU_002","Hong 2025b",2025,"10.2214/AJR.25.33059","https://doi.org/10.2214/AJR.25.33059","225:e2533059","AJR",5.2,"SIM","KARA-CXR","VLM",NA,NA,"SIM","Tuberculosis Screening",NA,NA,"Clinical + 2 radiologists","Blinded",NA,"800",360,56,18,366,800,0,0.9524,0.8673,0.9075,0.4725,0.926,0.9697,7.18,0.05,143.6,"Low","Low","Low","Low","Low","Low","Low","Low","AUDIT_TOOL_V3","2026-03-18","ANTIGRAVITY_AGENT","NA","NA","NA","NA","NA","NA"
"STU_004","Ostrovsky 2025",2025,"10.1016/j.ajem.2025.03.060","https://doi.org/10.1016/j.ajem.2025.03.060","93(2025)99-102","Am J Emerg Med",3.5,"SIM","ChatGPT-4.0","LLM",NA,NA,"SIM","Pneumonia vs Normal",NA,NA,"Radiologists (on-site)","Double Check",NA,"1400",141,77,44,1138,1400,0,0.7622,0.9366,0.9136,0.1321,0.6959,0.8178,12.03,0.25,48.12,"Low","Unclear","Low","Low","Unclear","Low","Low","Low","AUDIT_TOOL_V3","2026-03-18","ANTIGRAVITY_AGENT","SIM","N=400","N=1400","Auditoria detectou subgrupo parcial; correção para N total do artigo.","2026-03-18",NA
"STU_005","Huang 2023",2023,"10.1001/jamanetworkopen.2023.36100","https://doi.org/10.1001/jamanetworkopen.2023.36100","NA","JAMA Network Open",13.8,"SIM","Transformer-based GenAI","LLM",NA,NA,"SIM","Emergency Chest X-ray",NA,NA,"Radiologist (on-site)","Blinded",NA,"500",139,5,25,331,500,0,0.8476,0.9851,0.94,0.328,0.7846,0.8946,56.96,0.15,379.73,"Low","Unclear","Low","Low","Unclear","Low","Low","Low","AUDIT_TOOL_V3","2026-03-18","ANTIGRAVITY_AGENT","NA","NA","NA","NA","NA","NA"
"STU_006","Huang 2025",2025,"10.1001/jamanetworkopen.2025.13921","https://doi.org/10.1001/jamanetworkopen.2025.13921","NA","JAMA Network Open",13.8,"SIM","Generative Draft Reporting","LLM",NA,NA,"SIM","Pneumothorax (Prospective)","NA",NA,"Radiologist (final report)","Blinded (Shadow)","NA","97651",24,22,9,97596,97651,0,0.7273,0.9998,0.9997,3e-04,0.5578,0.8493,3227.04,0.27,11952,"Low","Unclear","Low","Low","Unclear","Low","Low","Low","AUDIT_TOOL_V3","2026-03-18","ANTIGRAVITY_AGENT","SIM","Delta N = +9","Delta N = 0","Ajuste na extração das células FP/FN para bater com o N total.","2026-03-18",NA
"STU_007","Akçay 2025",2025,"10.1186/s12890-025-04041-w","https://doi.org/10.1186/s12890-025-04041-w","41275154","BMC Pulm Med",NA,"SIM","GPT-4o","VLM",NA,NA,NA,"Pneumothorax (spontaneous)","Case-control 110/110",NA,"Thoracic surgeon consensus","Blinded",NA,"220",78,4,32,106,220,0,0.7091,0.9636,0.8364,0.5,NA,NA,19.48,0.302,64.5,"High","Unclear","Low","Low","High","Low","Low","Low","AUDIT_2026-06","2026-06-08","PDF_VERIFICADO_2026-06-08","NA","NA","NA","NA","NA","Substitui o Noh fabricado. 2x2 CONFIRMADO no texto completo (PMID 41275154): FN=32/110, FP=4/110 => TP78 FP4 TN106 FN32; sens 70,9%, spec 96,4%, AUC 0,836. Desenho caso-controle 110/110 => D1 High."
"STU_011","Ciflik 2026",2026,"10.1186/s12890-026-04151-z","https://doi.org/10.1186/s12890-026-04151-z","41645118","BMC Pulm Med",NA,"SIM","GPT-5.1 (ChatGPT)","VLM",NA,NA,NA,"Pneumothorax (real-world)","Consecutive (prev 12.5%)",NA,"2 thoracic surgeons","Blinded",NA,"240",30,18,0,192,240,0,1.0,0.9143,0.925,0.125,NA,NA,11.67,0,NA,"Low","Unclear","Low","Low","Unclear","Low","Low","Low","AUDIT_2026-06","2026-06-08","PDF_VERIFICADO_2026-06-08","NA","NA","NA","NA","NA","2x2 confirmado no texto completo (PMID 41645118): PTX 30/240 (12,5%); ChatGPT sens 100%, spec 91,4%; PPV 62,5%=30/48. FN=0 => correção de continuidade."
"STU_008","Lee 2025",2025,"10.1007/s00330-024-11339-6","https://doi.org/10.1007/s00330-024-11339-6","NA","Eur Radiol","NA","SIM","CXR-LLaVA","VLM",NA,NA,"SIM","Chest X-ray Interpretation","NA",NA,"Radiologist","Blinded",NA,"3689","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low","Low","Unclear","Low","Unclear","Low","Low","Low","AUDIT_TOOL_V3","2026-03-18","ANTIGRAVITY_AGENT","NA","NA","NA","NA","NA","NA"
"STU_009","Gunes 2025",2025,"10.1097/RTI.0000000000000805","https://doi.org/10.1097/RTI.0000000000000805","NA","J Thorac Imaging","NA","SIM","LLM vs Radiologists","LLM",NA,NA,"SIM","Thoracic Radiology Cases","NA",NA,"Radiologist","Comparative","NA","124","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low","Unclear","Low","Low","Unclear","Low","Low","Low","AUDIT_TOOL_V3","2026-03-18","ANTIGRAVITY_AGENT","NA","NA","NA","NA","NA","NA"
"STU_010","Tanno 2025",2025,"10.1038/s41591-024-03302-1","https://doi.org/10.1038/s41591-024-03302-1","NA","Nat Med","NA","SIM","GenAI Reporting","LLM",NA,NA,"SIM","Chest X-ray Reporting","NA",NA,"Radiologist","Blinded",NA,"606","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low","Low","Unclear","Low","Unclear","Low","Low","Low","AUDIT_TOOL_V3","2026-03-18","ANTIGRAVITY_AGENT","NA","NA","NA","NA","NA","NA"
