study_id,study,year,rob_patient_selection,rob_index_test,rob_reference_standard,rob_flow_timing,appl_patient_selection,appl_index_test,appl_reference_standard,overall_risk
STU_001,Hong 2025a,2025,Low,Low,Low,Low,Low,Low,Low,Low
STU_002,Hong 2025b,2025,Low,Low,Low,Low,Low,Low,Low,Low
STU_004,Ostrovsky 2025,2025,Low,Unclear,Low,Low,Low,Low,Low,Unclear
STU_005,Huang 2023,2023,Low,Unclear,Low,Low,Low,Low,Low,Unclear
STU_006,Huang 2025,2025,Low,Unclear,Low,Low,Low,Low,Low,Unclear
STU_007,Akçay 2025,2025,High,Unclear,Low,Low,Low,Low,Low,High
STU_011,Ciflik 2026,2026,Low,Unclear,Low,Low,Low,Low,Low,Unclear
STU_008,Lee 2025,2025,Low,Low,Unclear,Low,Low,Low,Low,Unclear
STU_009,Gunes 2025,2025,Low,Unclear,Low,Low,Low,Low,Low,Unclear
STU_010,Tanno 2025,2025,Low,Low,Unclear,Low,Low,Low,Low,Unclear
