source,pmid,doi,authors,year,journal,title,abstract,relevance_score,included
PubMed,41159788,10.2214/ajr.25.33704,Hong 2026,2026,AJR. American journal of roentgenology,Temperature Setting of a Multimodal Generative Artificial Intelligence Model: Association With Accuracy and Quality of Artificial Intelligence-Generated Chest Radiograph Reports.,,0.09302030815363495,True
PubMed,40632637,10.2214/ajr.25.33500,Nishio 2025,2025,AJR. American journal of roentgenology,Clinical Usefulness of Multimodal Generative Artificial Intelligence on Chest Radiography.,,0.09193722834088626,True
PubMed,41275154,10.1186/s12890-025-04041-w,Akçay 2025,2025,BMC pulmonary medicine,Evaluation of the effectiveness of the ChatGPT artificial intelligence application in the diagnosis of spontaneous pneumothorax on chest radiograph interpretation.,"Spontaneous pneumothorax is a potentially life-threatening condition commonly diagnosed using chest radiographs. However, interpreting chest X-rays can be challenging due to anatomical overlap and observer variability. This study aimed to evaluate the diagnostic accuracy of ChatGPT, a large language model (LLM), in detecting pneumothorax on chest radiographs compared to expert thoracic surgeons. In this retrospective study, 220 chest radiographs were assessed. Expert consensus classified 110 cases with pneumothorax and 110 without. The images were uploaded to the GPT-4o model without any clinical information, and ChatGPT was asked to identify the presence or absence of pneumothorax. Diagnostic performance was evaluated by calculating sensitivity, specificity, accuracy, positive and negative predictive values, and area under the receiver operating characteristic curve (AUC). Subgroup analyses were performed based on pneumothorax size. ChatGPT demonstrated an overall diagnostic accuracy of 83.7%, sensitivity of 70.9%, specificity of 96.4%, positive predictive value of 95.1%, and negative predictive value of 76.8%. The AUC was 0.836 (95% CI: 0.780-0.893). Diagnostic performance was higher for large pneumothoraces (AUC: 0.894) compared to small pneumothoraces (AUC: 0.439). Cohen’s kappa coefficient indicated substantial agreement (κ=0.673; 95%CI: 0.575-0.771) with expert evaluations. ChatGPT demonstrates potential in detecting pneumothorax on chest radiographs, particularly in cases of large pneumothorax. However, its limited sensitivity for small pneumothoraces raises significant concerns about its reliability in clinical decision-making. Any use of ChatGPT in diagnostic workflows should be approached with caution, as unverified outputs may lead to inappropriate interventions or under-triaging. Therefore, the model is not suitable as a standalone diagnostic or triage tool. Its potential utility may lie in exploratory or supervised settings where expert oversight is available, but further validation is required before clinical implementation can be considered.",0.08828457098497815,True
PubMed,41779375,10.2214/ajr.25.34267,Hong 2026,2026,AJR. American journal of roentgenology,"Generative Artificial Intelligence Models for Chest Radiograph Interpretation: Comparison of a General-Purpose Model, Domain-Specific Model, and Two Agentic Models.",,0.08249582985921773,True
PubMed,39585830,10.1371/journal.pone.0314136,Park 2024,2024,PloS one,Extraction of clinical data on major pulmonary diseases from unstructured radiologic reports using a large language model.,"Despite significant strides in big data technology, extracting information from unstructured clinical data remains a formidable challenge. This study investigated the utility of large language models (LLMs) for extracting clinical data from unstructured radiological reports without additional training. In this retrospective study, 1800 radiologic reports, 600 from each of the three university hospitals, were collected, with seven pulmonary outcomes defined. Three pulmonology-trained specialists discerned the presence or absence of diseases. Data extraction from the reports was executed using Google Gemini Pro 1.0, OpenAI's GPT-3.5, and GPT-4. The gold standard was predicated on agreement between at least two pulmonologists. This study evaluated the performance of the three LLMs in diagnosing seven pulmonary diseases (active tuberculosis, emphysema, interstitial lung disease, lung cancer, pleural effusion, pneumonia, and pulmonary edema) utilizing chest radiography and computed tomography scans. All models exhibited high accuracy (0.85-1.00) for most conditions. GPT-4 consistently outperformed its counterparts, demonstrating a sensitivity of 0.71-1.00; specificity of 0.89-1.00; and accuracy of 0.89 and 0.99 across both modalities, thus underscoring its superior capability in interpreting radiological reports. Notably, the accuracy of pleural effusion and emphysema on chest radiographs and pulmonary edema on chest computed tomography scans reached 0.99. The proficiency of LLMs, particularly GPT-4, in accurately classifying unstructured radiological data hints at their potential as alternatives to the traditional manual chart reviews conducted by clinicians.",0.06899437257065706,True
PubMed,41594208,10.3390/diagnostics16020232,Wang 2026,2026,"Diagnostics (Basel, Switzerland)",Diagnostic Performance of ChatGPT-5 for Detecting Pediatric Pneumothorax on Chest Radiographs: A Multi-Prompt Evaluation.,"Background/Objectives: Chest radiography is the primary first-line imaging tool for diagnosing pneumothorax in pediatric emergency settings. However, interpretation under clinical pressures such as high patient volume may lead to delayed or missed diagnosis, particularly for subtle cases. This study aimed to evaluate the diagnostic performance of ChatGPT-5, a multimodal large language model, in detecting and localizing pneumothorax on pediatric chest radiographs using multiple prompting strategies. Methods: In this retrospective study, 380 pediatric chest radiographs (190 pneumothorax cases and 190 matched controls) from a tertiary hospital were interpreted using ChatGPT-5 with three prompting strategies: instructional, role-based, and clinical-context. Performance metrics, including accuracy, sensitivity, specificity, and conditional side accuracy, were evaluated against an expert-adjudicated reference standard. Results: ChatGPT-5 achieved an overall accuracy of 0.77-0.79 and consistently high specificity (0.96-0.98) across all prompts, with stable reproducibility. However, sensitivity was limited (0.57-0.61) and substantially lower for small pneumothoraces (American College of Chest Physicians [ACCP]: 0.18-0.22; British Thoracic Society [BTS]: 0.41-0.46) than for large pneumothoraces (ACCP: 0.75-0.79; BTS: 0.85-0.88). The conditional side accuracy exceeded 0.96 when pneumothorax was correctly detected. No significant differences were observed among prompting strategies. Conclusions: ChatGPT-5 showed consistent but limited diagnostic performance for pediatric pneumothorax. Although the high specificity and reproducible detection of larger pneumothoraces reflect favorable performance characteristics, the unacceptably low sensitivity for subtle pneumothoraces precludes it from independent clinical interpretation and underscores the necessity of oversight by emergency clinicians.",0.0669495181022155,True
PubMed,41300923,10.3390/diagnostics15222899,Castilla 2025,2025,"Diagnostics (Basel, Switzerland)",External Validation of an Artificial Intelligence Triaging System for Chest X-Rays: A Retrospective Independent Clinical Study.,"Background: Chest radiography (CXR) is the most frequently performed radiological exam worldwide, but reporting backlogs, caused by a shortage of radiologists, remain a critical challenge in emergency care. Artificial intelligence (AI) triage systems can help alleviate this challenge by differentiating normal from abnormal studies and prioritizing urgent cases for review. This study aimed to externally validate TRIA, a commercial AI-powered CXR triage algorithm (NeuralMed, São Paulo, Brazil). Methods: TRIA employs a two-stage deep learning approach, comprising an image segmentation module that isolates the thoracic region, followed by a classification model trained to recognize common cardiopulmonary pathologies. We trained the system on 275,399 CXRs from multiple public and private datasets. We performed external validation retrospectively on 1045 CXRs (568 normal and 477 abnormal) from a teaching university hospital that was not used for training. We established ground truth using a large language model (LLM) to extract findings from original radiologist reports. An independent radiologist review of a 300-report subset confirmed the reliability of this method, achieving an accuracy of 0.98 (95% CI 0.978-0.988). We compared four ensemble decision strategies for abnormality detection. Performance metrics included sensitivity, specificity, accuracy, and area under the receiver operating characteristic curve (AUROC) with 95% CI. Results: The general abnormality classifier achieved strong performance (AUROC 0.911). Individual pathology models for cardiomegaly, pneumothorax, and effusion showed excellent results (AUROC of 0.968, 0.955, and 0.935, respectively). The weighted ensemble demonstrated the best balance, with an accuracy of 0.854 (95% CI, 0.831-0.874), a sensitivity of 0.845 (0.810-0.875), a specificity of 0.861 (0.830-0.887), and an AUROC of 0.927 (0.911-0.940). Sensitivity-prioritized methods achieving sensitivity >0.92 produced lower specificity (<0.69). False negatives were mainly subtle or equivocal cases, although many were still flagged as abnormal by the general classifier. Conclusions: TRIA achieved robust and balanced accuracy in distinguishing normal from abnormal CXRs. Integrating this system into clinical workflows has the potential to reduce reporting delays, prioritize urgent cases, and improve patient safety. These findings support its clinical utility and warrant prospective multicenter validation.",0.06611834362941771,True
PubMed,40174466,10.1016/j.ajem.2025.03.060,Ostrovsky 2025,2025,The American journal of emergency medicine,Evaluating a large language model's accuracy in chest X-ray interpretation for acute thoracic conditions.,"The rapid advancement of artificial intelligence (AI) has great ability to impact healthcare. Chest X-rays are essential for diagnosing acute thoracic conditions in the emergency department (ED), but interpretation delays due to radiologist availability can impact clinical decision-making. AI models, including deep learning algorithms, have been explored for diagnostic support, but the potential of large language models (LLMs) in emergency radiology remains largely unexamined. This study assessed ChatGPT's feasibility in interpreting chest X-rays for acute thoracic conditions commonly encountered in the ED. A subset of 1400 images from the NIH Chest X-ray dataset was analyzed, representing seven pathology categories: Atelectasis, Effusion, Emphysema, Pneumothorax, Pneumonia, Mass, and No Finding. ChatGPT 4.0, utilizing the ""X-Ray Interpreter"" add-on, was evaluated for its diagnostic performance across these categories. ChatGPT demonstrated high performance in identifying normal chest X-rays, with a sensitivity of 98.9 %, specificity of 93.9 %, and accuracy of 94.7 %. However, the model's performance varied across pathologies. The best results were observed in diagnosing pneumonia (sensitivity 76.2 %, specificity 93.7 %) and pneumothorax (sensitivity 77.4 %, specificity 89.1 %), while performance for atelectasis and emphysema was lower. ChatGPT demonstrates potential as a supplementary tool for differentiating normal from abnormal chest X-rays, with promising results for certain pathologies like pneumonia. However, its diagnostic accuracy for more subtle conditions requires improvement. Further research integrating ChatGPT with specialized image recognition models could enhance its performance, offering new possibilities in medical imaging and education.",0.0650006573591959,True
PubMed,40348657,10.1016/j.ajem.2025.05.004,Erdemir 2025,2025,The American journal of emergency medicine,Reader Comment Regarding Evaluating a large language model's accuracy in chest X-ray interpretation for acute thoracic conditions.,,0.061517918548434664,True
PubMed,42098114,10.1038/s41467-026-72680-6,Bai 2026,2026,Nature communications,A DeepSeek-powered AI system for automated chest radiograph interpretation in clinical practice.,"A global shortage of radiologists has increased the burden of chest X-ray interpretation, particularly in primary and resource-limited settings. Although artificial intelligence systems can assist with report generation, most lack rigorous prospective validation in real clinical environments. Here we show that Janus-Pro-CXR, a lightweight artificial intelligence system optimized for chest radiograph interpretation, improves report quality and workflow efficiency in a multicenter prospective study (NCT07117266). Developed through domain-specific fine-tuning of a multimodal foundation model, Janus-Pro-CXR achieved strong diagnostic performance for key thoracic findings and generated clinically structured reports aligned with expert standards. In real-world deployment involving 296 patients, AI assistance significantly improved report quality scores and reduced interpretation time by 18.3% compared with standard practice. The system operates efficiently on standard hardware, supporting practical implementation in resource-constrained settings. These findings demonstrate the clinical value of lightweight, human-AI collaborative systems in radiology practice.",0.05892820287871287,True
