paper_id,authors,year,title,source,relevance_score
41846896,Koç 2026,2026,Performance of large language models on sleep medicine certification examination: a comprehensive multi-model analysis.,PubMed,1.0
41846244,Foo 2026,2026,"Managing maternity: Moving care, not patients, using artificial intelligence (AI), internet-of-things (IOT) and point-of-care testing (POCT) devices.",PubMed,1.0
41843909,Druart 2026,2026,Investigating Placebos and Controls Used in Large Language Model-Based Chatbot Intervention Trials: Protocol for a Methodological Review.,PubMed,1.0
41840364,Bisbal 2026,2026,Uncertainty-aware automated labeling of intracranial arteries using deep learning.,PubMed,1.0
41840136,Akkus 2026,2026,Diagnostic Performance of Large Language Models in Musculoskeletal Ultrasound: A Comparative Evaluation of ChatGPT-5.1 and Gemini for Plantar Fasciitis.,PubMed,1.0
41840134,Testagrose 2026,2026,Automated Prediction of Radiological Protocols Using Retrieval Augmented Generation.,PubMed,1.0
41838559,Halvorson 2026,2026,Large Language Model Predicts Surgeon Recommendations for Imaging and Surgery for Patients Presenting for Knee and Shoulder Complaints With 70% and 81% Accuracy Using Previsit Questionnaire Responses.,PubMed,1.0
41838331,Zormpas-Petridis 2026,2026,Generating synthetic CEM from low-energy images using deep learning: A future without contrast media? A proof-of-concept study.,PubMed,1.0
41838317,Suh 2026,2026,Insufficient reporting quality in large language model studies in the field of radiology.,PubMed,1.0
41836865,Erbek 2026,2026,Artificial intelligence in anatomy education: a systematic review of ChatGPT's effectiveness as a learning tool.,PubMed,1.0
41836629,Zhao 2026,2026,"Performance of latest AI models, RAG, and MCP on lung cancer-related questions.",PubMed,1.0
41831028,Arzideh 2026,2026,Comparison of proprietary and fine-tuned large language models for multi-label classification of billing codes from radiology reports.,PubMed,1.0
41830877,Celsa 2025,2025,PHENO-RAG: An artificial intelligence tool for guideline-informed management decisions in hepatocellular carcinoma.,PubMed,1.0
41830874,Guan 2026,2026,LLM-SDaT: A knowledge-informed LLM framework for syndrome differentiation in TCM.,PubMed,1.0
41830788,Adnan 2026,2026,Developing Synthetic Orthopantomogram Datasets Through Generative Models.,PubMed,1.0
41827742,Leszczyńska 2026,2026,Artificial Intelligence for RECIST-Based Radiologic Treatment Response Assessment in Solid Tumors: A Systematic Review of Imaging- and Report-Derived Approaches.,PubMed,1.0
41825998,Syed 2026,2026,Introduction to Large Language Models and the Application of Generative Artifical Intelligence in Dental Education and Clinical Practice.,PubMed,1.0
41825363,Dietzel 2026,2026,"Digital identity and the systemic vulnerability of peer review: A call for resilience, awareness, and shared governance.",PubMed,1.0
41824209,Shah 2026,2026,Integrating Generative AI into Nomograms for Breast Cancer Nodal Risk Predictions.,PubMed,1.0
41824101,Song 2026,2026,Molecular imaging of tucatinib-induced cellular and TME changes in preclinical models of HER2 + breast cancer.,PubMed,1.0
41824086,Barbarawi 2026,2026,Aneurysmal subarachnoid hemorrhage in infants: a case report and systematic review with pooled individual patient-level analysis.,PubMed,1.0
41823823,Kader 2026,2026,Preclinical HistoBench: A Pilot Benchmark Dataset for Evaluating Large Language Models on Preclinical Histopathological Classification.,PubMed,1.0
41820628,Gupta 2026,2026,CALM-RAD: Calibrated GPT-4o Confidence-Based Triage Enables 96-100% Accuracy in Automated TNM Staging of Head and Neck Cancer Reports.,PubMed,1.0
41818862,Gong 2026,2026,Artificial intelligence in microscopic hair imaging for scalp disorders: From image acquisition to clinical decisions.,PubMed,1.0
41816407,Huang 2026,2026,Narrative review: the research advances of artificial intelligence in the prediction of pulmonary nodule growth.,PubMed,1.0
41816099,Hassanein 2026,2026,Multimodal large language models for oral lesion diagnosis: a systematic review of diagnostic performance and clinical utility.,PubMed,1.0
41814091,Luppi 2026,2026,Competitive interactions shape mammalian brain network dynamics and computation.,PubMed,1.0
41814072,Wang 2026,2026,Advanced Prompting Techniques Informed by Clinical Expertise Improve the Accuracy of LLM Data Extraction but Increase Non-Determinism.,PubMed,1.0
