study_id,authors,year,clinical_scenario,doi,pool,q1_selection,q2_index,q3_reference,q4_flow,a1_selection,a2_index,a3_reference
STU_001,Hong 2025a,2025,Pneumothorax,10.1148/radiol.241476,main,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER
STU_002,Hong 2025b,2025,Tuberculosis Screening,10.2214/AJR.25.33059,main,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER
STU_004,Ostrovsky 2025,2025,Pneumonia vs Normal,10.1016/j.ajem.2025.03.060,main,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER
STU_005,Huang 2023,2023,Emergency Chest X-ray,10.1001/jamanetworkopen.2023.36100,main,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER
STU_006,Huang 2025,2025,Pneumothorax (Prospective),10.1001/jamanetworkopen.2025.13921,main,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER
STU_011,Akçay 2025,2025,Pneumothorax (spontaneous),10.1186/s12890-025-04041-w,main,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER
STU_012,Ciflik 2026,2026,Pneumothorax (real-world),10.1186/s12890-026-04151-z,main,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER
STU_013,Güzel 2026,2026,Pneumothorax (large-scale SIIM-ACR),10.4274/dir.2026.263696,main,Some concerns,Low,Low,Low,Some concerns,Low,Low
STU_014,Khovanova 2025,2025,Pulmonary Nodule,10.3389/fdgth.2025.1674835,main,High,Some concerns,Low,Some concerns,High,Some concerns,Low
STU_009,Lee 2025,2025,Chest X-ray Interpretation,10.1007/s00330-024-11339-6,supplemental,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER
STU_015,Bai 2026,2026,Report Generation,10.1038/s41467-026-72680-6,supplemental,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER
STU_008,Bulut 2025,2025,Pneumothorax (sensitivity only),10.1371/journal.pone.0331962,supplemental,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER,PREENCHER
