study_id,author,year,architecture,model_extracted,condition,tp,fp,tn,fn,n_total,prevalence,gold_standard,haldane_applied,pool,quadas_overall
001,Hong,2025,VLM,Domain-specific MLLM,Pneumothorax,181,142,1813,9,2145,0.0886,3 radiologists,FALSE,main,Low
002,Hong,2025,VLM,Domain-specific MLLM,Tuberculosis,360,56,366,18,800,0.4725,Clinical+2 radiologists,FALSE,main,Low
004,Ostrovsky,2025,VLM,ChatGPT-4o (X-Ray Interpreter),Pneumonia,141,77,1138,44,1400,0.1321,Attending radiologists,FALSE,main,Uncertain
005,Huang,2023,LLM,GPT-4V,General Emergency,139,5,331,25,500,0.3280,Attending radiologist,FALSE,main,Uncertain
006,Huang,2025,LLM,Generative AI (multimodal),Pneumothorax,24,22,97596,9,97651,0.0003,Radiologist report,FALSE,main,Uncertain
011,Akçay,2025,VLM,GPT-4o,Pneumothorax,78,4,106,32,220,0.5000,Thoracic surgeon consensus,FALSE,main,High
012,Ciflik,2026,VLM,Multimodal LLM,Pneumothorax,30,18,192,0,240,0.1250,2 thoracic surgeons,TRUE,main,Uncertain
013,Güzel,2026,VLM,Gemini 2 Pro,Pneumothorax,523,415,7881,1856,10675,0.2229,SIIM-ACR radiologist masks,FALSE,main,Some concerns
014,Khovanova,2026,VLM,Claude 3.7 Sonnet,Pulmonary Nodule,12,3,42,26,83,0.4578,Radiologist + CT confirmation,FALSE,main,High
009,Lee,2025,VLM,CXR-LLaVA,General CXR,NA,NA,NA,NA,3689,NA,Radiologist,NA,supplemental,Uncertain
015,Bai,2026,VLM,Janus-Pro-CXR,Report Generation (per-finding AUC),NA,NA,NA,NA,296,NA,Radiologist,NA,supplemental,Uncertain
008,Bulut,2025,VLM,ChatGPT-4o,Pneumothorax (positives only; sensitivity only),NA,NA,NA,NA,172,NA,Thoracic CT confirmation,NA,supplemental,Uncertain
