Study_Label,Citation,DOI,URL
Hong 2025a,Hong EK et al. (Rad. a),10.1148/radiol.241476,https://doi.org/10.1148/radiol.241476
Hong 2025b,Hong EK et al. (AJR),10.2214/AJR.25.33059,https://doi.org/10.2214/AJR.25.33059
Hong 2025c,Hong EK et al. (Rad. c),10.1148/radiol.241646,https://doi.org/10.1148/radiol.241646
Ostrovsky 2025,Ostrovsky AM,10.1016/j.ajem.2025.03.060,https://doi.org/10.1016/j.ajem.2025.03.060
Huang 2023,Huang J et al. (JAMA 2023),10.1001/jamanetworkopen.2023.36100,https://doi.org/10.1001/jamanetworkopen.2023.36100
Huang 2025,Huang J et al. (JAMA 2025),10.1001/jamanetworkopen.2025.13921,https://doi.org/10.1001/jamanetworkopen.2025.13921
Noh 2026,Noh J et al. (JACR),10.1016/j.jacr.2026.03.17,https://doi.org/10.1016/j.jacr.2026.03.17
Lee 2025,Lee S et al. (Eur Rad),10.1007/s00330-024-11339-6,https://doi.org/10.1007/s00330-024-11339-6
Gunes 2025,Gunes YC et al. (JTI),10.1097/RTI.0000000000000805,https://doi.org/10.1097/RTI.0000000000000805
Tanno 2025,Tanno R et al. (Nat Med),10.1038/s41591-024-03302-1,https://doi.org/10.1038/s41591-024-03302-1
Van Ginneken 2016,Van Ginneken B,10.1007/s12194-016-0371-y,https://doi.org/10.1007/s12194-016-0371-y
Parikh 2023,Parikh JR et al.,10.1016/j.jacr.2023.02.025,https://doi.org/10.1016/j.jacr.2023.02.025
McInnes 2018,McInnes MDF et al. (PRISMA),10.1001/jama.2018.19198,https://doi.org/10.1001/jama.2018.19198
Whiting 2011,Whiting PF et al. (QUADAS),10.7326/0003-4819-155-8-201110180-00009,https://doi.org/10.7326/0003-4819-155-8-201110180-00009
Reitsma 2005,Reitsma JB et al. (Modelo Bivar),10.1016/j.jclinepi.2005.02.022,https://doi.org/10.1016/j.jclinepi.2005.02.022
Takwoingi 2015,Takwoingi Y et al.,10.1177/0962280215583431,https://doi.org/10.1177/0962280215583431
