"Estudo","D1 - Selecao","D2 - Teste indice","D3 - Padrao referencia","D4 - Fluxo e tempo","D1a - Aplic. Selecao","D2a - Aplic. Teste","D3a - Aplic. Referencia"
"Hong 2025a","Baixo","Baixo","Baixo","Baixo","Baixo","Baixo","Baixo"
"Hong 2025b","Baixo","Baixo","Baixo","Baixo","Baixo","Baixo","Baixo"
"Hong 2025c","Baixo","Baixo","Baixo","Baixo","Baixo","Baixo","Baixo"
"Ostrovsky 2025","Baixo","Incerto","Baixo","Baixo","Baixo","Baixo","Baixo"
"Huang 2023","Baixo","Incerto","Baixo","Baixo","Baixo","Baixo","Baixo"
"Huang 2025","Baixo","Incerto","Baixo","Baixo","Baixo","Baixo","Baixo"
"Noh 2026","Alto","Baixo","Baixo","Baixo","Baixo","Baixo","Baixo"
"Lee 2025","Baixo","Baixo","Incerto","Baixo","Baixo","Baixo","Baixo"
"Gunes 2025","Baixo","Incerto","Baixo","Baixo","Baixo","Baixo","Baixo"
"Tanno 2025","Baixo","Baixo","Incerto","Baixo","Baixo","Baixo","Baixo"
